ingredient,harmful_for
sugar,diabetes
sugars,diabetes
salt,high blood pressure
salts,high blood pressure
sodium,high blood pressure
cholesterol,heart disease
fats,heart disease
fat,heart disease


brown rice syrup,all
high oleic sunflower oil,all
trisodium phosphate,all
gellan gum,all
locust bean gum,all
high fructose corn syrup,all
partially hydrogenated oil,all
monosodium glutamate,all
sodium nitrate,all
sodium nitrite,all
aspartame,all
sucralose,all
red 40,all
yellow 5,all
blue 1,all
bha,all
bht,all
sodium benzoate,all
potassium bromate,all
propyl gallate,all
carrageenan,all
artificial flavor,all
artificial flavoring,all
artificial colors,all
artificial coloring,all

